Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Transportation,Real-Time Traffic Speed Data,Transportation/Real-Time-Traffic-Speed-Data/xsat-x5sa,Department of Transportation (DOT),"NYCDOT's Traffic Management Center (TMC) maintains a map of traffic speed detectors throughout the City. The speed detector themselves belong to various city and state agencies. The Traffic Speeds Map is available on the DOT's website (http://nyctmc.org/ ). This data feed contains 'real-time' traffic information from locations where NYCDOT picks up sensor feeds within the five boroughs, mostly on major arterials and highways. NYCDOT uses this information for emergency response and management.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"vehicles, car, bus, automobile, truck, clean web"
Transportation,Medallion Drivers – Status Change Log 10/28/2013 - present,Transportation/Medallion-Drivers-Status-Change-Log-10-28-2013-pre/sjfe-fppp,Taxi and Limousine Commission (TLC),This list contains information on changes in status to current medallion drivers and their corresponding record history starting from 10/28/2013 (inclusive). Historical information from 03/07/2013 – 01/04/2014 can be found at https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/n776-dsqy. The most recently published active medallion drivers list can be found at https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/jb3k-j3gp,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Education,SAT (College Board) 2010 School Level Results,Education/SAT-College-Board-2010-School-Level-Results/zt9s-n5aj,Department of Education (DOE),"New York City school level College Board SAT results for the graduating seniors of 2010.  Records contain 2010 College-bound seniors mean SAT scores. 

Records with 5 or fewer students are suppressed (marked ‘s’). 

College-bound seniors are those students that complete the SAT Questionnaire when they register for the SAT and identify that they will graduate from high school in a specific year. For example, the 2010 college-bound seniors are those students that self-reported they would graduate in 2010. Students are not required to complete the SAT Questionnaire in order to register for the SAT. Students who do not indicate which year they will graduate from high school will not be included in any college-bound senior report.  

Students are linked to schools by identifying which school they attend when registering for a College Board exam. A student is only included in a school’s report if he/she self-reports being enrolled at that school. 

Data collected and processed by the College Board.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,lifelong learning
City Government,NYC Jobs,City-Government/NYC-Jobs/kpav-sd4t,Department of Citywide Administrative Services (DCAS),This dataset contains current job postings available on the  City of New York’s official jobs site (http://www.nyc.gov/html/careers/html/search/search.shtml).  Internal postings available to city employees and external postings available to the general public are included.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"career, vacancy, posting, job posting, employment, employment opportunities, jobs, nycaps, nycaps careers, hiring, job search, nyc jobs"
City Government,Demographic Statistics By Zip Code,City-Government/Demographic-Statistics-By-Zip-Code/kku6-nxdu,Department of Youth and Community Development (DYCD),Demographic statistics broken down by zip code,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"boundary, district, community, demography, demographic, statistic, youth, development, zip, code, zip code, area, lifelong learning"
Social Services,2013 NYC Pothole Complaints - Heat Map,Social-Services/2013-NYC-Pothole-Complaints-Heat-Map/v7f4-gjgr,311,NYC Noise complaints for 2012,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"311, 311 service requests, 2010, 2011, service request status, all service requests, sell, ksell"
Social Services,311 Service Requests,Social-Services/311-Service-Requests/fvrb-kbbt,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Public Safety,"NYC Tornado - September 16, 2010",Public-Safety/NYC-Tornado-September-16-2010/4bvt-f84g,311,DPR complaints for tornado,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"311, 311 service requests, 2010, tornado, environment"
Social Services,Incidents grouped by Address and Zip,Social-Services/Incidents-grouped-by-Address-and-Zip/byv3-iir3,311,All 311 Service Request from 2010 to Present.,Chris Metcalf,http://data.cityofnewyork.us/api/users/i7d8-sc4w,"311, 311 service requests, 2010, 2011, service request status, all service requests"
Health,NYC Health and Hospitals Corporation Facilities,Health/NYC-Health-and-Hospitals-Corporation-Facilities/ymhw-9cz9,Health and Hospitals Corporation (HHC),"This is a list of the 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and community-based clinics that make up the New York City Health and Hospitals Corporation, NYC's public hospital system. HHC is a $6.7 billion integrated healthcare delivery system which serves 1.3 million New Yorkers every year and more than 450,000 are uninsured. It provides medical, mental health and substance abuse services.
Update Frequency: As needed",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"facility, facilities, health, patient, healthcare, healthcare provider, hospital, medicare, medicaid, healthy living"
